"mouse" "cell_type1"
"mouse1_lib2.final_cell_0245" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0246" 1 "beta"
"mouse1_lib2.final_cell_0247" 1 "gamma"
"mouse1_lib2.final_cell_0248" 1 "endothelial"
"mouse1_lib2.final_cell_0249" 1 "delta"
"mouse1_lib2.final_cell_0250" 1 "ductal"
"mouse1_lib2.final_cell_0251" 1 "ductal"
"mouse1_lib2.final_cell_0252" 1 "beta"
"mouse1_lib2.final_cell_0253" 1 "delta"
"mouse1_lib2.final_cell_0254" 1 "beta"
"mouse1_lib2.final_cell_0255" 1 "delta"
"mouse1_lib2.final_cell_0256" 1 "beta"
"mouse1_lib2.final_cell_0257" 1 "ductal"
"mouse1_lib2.final_cell_0258" 1 "endothelial"
"mouse1_lib2.final_cell_0259" 1 "endothelial"
"mouse1_lib2.final_cell_0260" 1 "ductal"
"mouse1_lib2.final_cell_0261" 1 "alpha"
"mouse1_lib2.final_cell_0262" 1 "delta"
"mouse1_lib2.final_cell_0263" 1 "delta"
"mouse1_lib2.final_cell_0264" 1 "beta"
"mouse1_lib2.final_cell_0265" 1 "beta"
"mouse1_lib2.final_cell_0266" 1 "endothelial"
"mouse1_lib2.final_cell_0267" 1 "beta"
"mouse1_lib2.final_cell_0268" 1 "beta"
"mouse1_lib2.final_cell_0269" 1 "activated_stellate"
"mouse1_lib2.final_cell_0270" 1 "delta"
"mouse1_lib2.final_cell_0271" 1 "ductal"
"mouse1_lib2.final_cell_0272" 1 "macrophage"
"mouse1_lib2.final_cell_0273" 1 "beta"
"mouse1_lib2.final_cell_0274" 1 "delta"
"mouse1_lib2.final_cell_0275" 1 "beta"
"mouse1_lib2.final_cell_0276" 1 "beta"
"mouse1_lib2.final_cell_0277" 1 "beta"
"mouse1_lib2.final_cell_0278" 1 "beta"
"mouse1_lib2.final_cell_0279" 1 "ductal"
"mouse1_lib2.final_cell_0280" 1 "ductal"
"mouse1_lib2.final_cell_0281" 1 "ductal"
"mouse1_lib2.final_cell_0282" 1 "ductal"
"mouse1_lib2.final_cell_0283" 1 "ductal"
"mouse1_lib2.final_cell_0284" 1 "ductal"
"mouse1_lib2.final_cell_0285" 1 "ductal"
"mouse1_lib2.final_cell_0286" 1 "ductal"
"mouse1_lib2.final_cell_0287" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0288" 1 "delta"
"mouse1_lib2.final_cell_0289" 1 "endothelial"
"mouse1_lib2.final_cell_0290" 1 "ductal"
"mouse1_lib2.final_cell_0291" 1 "endothelial"
"mouse1_lib3.final_cell_0001" 1 "beta"
"mouse1_lib3.final_cell_0002" 1 "beta"
"mouse1_lib3.final_cell_0003" 1 "ductal"
"mouse1_lib3.final_cell_0004" 1 "delta"
"mouse1_lib3.final_cell_0005" 1 "alpha"
"mouse1_lib3.final_cell_0006" 1 "endothelial"
"mouse1_lib3.final_cell_0007" 1 "beta"
"mouse1_lib3.final_cell_0008" 1 "ductal"
"mouse1_lib3.final_cell_0009" 1 "beta"
"mouse1_lib3.final_cell_0010" 1 "ductal"
"mouse1_lib3.final_cell_0011" 1 "ductal"
"mouse1_lib3.final_cell_0012" 1 "ductal"
"mouse1_lib3.final_cell_0013" 1 "ductal"
"mouse1_lib3.final_cell_0014" 1 "ductal"
"mouse1_lib3.final_cell_0015" 1 "ductal"
"mouse1_lib3.final_cell_0016" 1 "ductal"
"mouse1_lib3.final_cell_0017" 1 "ductal"
"mouse1_lib3.final_cell_0018" 1 "beta"
"mouse1_lib3.final_cell_0019" 1 "ductal"
"mouse1_lib3.final_cell_0020" 1 "gamma"
"mouse1_lib3.final_cell_0021" 1 "delta"
"mouse1_lib3.final_cell_0022" 1 "beta"
"mouse1_lib3.final_cell_0023" 1 "beta"
"mouse1_lib3.final_cell_0024" 1 "delta"
"mouse1_lib3.final_cell_0025" 1 "ductal"
"mouse1_lib3.final_cell_0026" 1 "delta"
"mouse1_lib3.final_cell_0027" 1 "quiescent_stellate"
"mouse1_lib3.final_cell_0028" 1 "ductal"
"mouse1_lib3.final_cell_0029" 1 "ductal"
"mouse1_lib3.final_cell_0030" 1 "endothelial"
"mouse1_lib3.final_cell_0031" 1 "ductal"
"mouse1_lib3.final_cell_0032" 1 "beta"
"mouse1_lib3.final_cell_0033" 1 "ductal"
"mouse1_lib3.final_cell_0034" 1 "ductal"
"mouse1_lib3.final_cell_0035" 1 "ductal"
"mouse1_lib3.final_cell_0036" 1 "ductal"
"mouse1_lib3.final_cell_0037" 1 "ductal"
"mouse1_lib3.final_cell_0038" 1 "delta"
"mouse1_lib3.final_cell_0039" 1 "beta"
"mouse1_lib3.final_cell_0040" 1 "beta"
"mouse1_lib3.final_cell_0041" 1 "ductal"
"mouse1_lib3.final_cell_0042" 1 "endothelial"
"mouse1_lib3.final_cell_0043" 1 "endothelial"
"mouse1_lib3.final_cell_0044" 1 "delta"
"mouse1_lib3.final_cell_0045" 1 "delta"
"mouse1_lib3.final_cell_0046" 1 "ductal"
"mouse1_lib3.final_cell_0047" 1 "beta"
"mouse1_lib3.final_cell_0048" 1 "beta"
"mouse1_lib3.final_cell_0049" 1 "beta"
"mouse1_lib3.final_cell_0050" 1 "delta"
"mouse1_lib3.final_cell_0051" 1 "beta"
"mouse1_lib3.final_cell_0052" 1 "beta"
"mouse1_lib3.final_cell_0053" 1 "beta"
"mouse1_lib3.final_cell_0054" 1 "endothelial"
"mouse1_lib3.final_cell_0055" 1 "endothelial"
"mouse1_lib3.final_cell_0056" 1 "ductal"
"mouse1_lib3.final_cell_0057" 1 "quiescent_stellate"
"mouse1_lib3.final_cell_0058" 1 "beta"
"mouse1_lib3.final_cell_0059" 1 "beta"
"mouse1_lib3.final_cell_0060" 1 "beta"
"mouse1_lib3.final_cell_0061" 1 "beta"
"mouse1_lib3.final_cell_0062" 1 "beta"
"mouse1_lib3.final_cell_0063" 1 "ductal"
"mouse1_lib3.final_cell_0064" 1 "ductal"
"mouse1_lib3.final_cell_0065" 1 "beta"
"mouse1_lib3.final_cell_0066" 1 "beta"
"mouse1_lib3.final_cell_0067" 1 "ductal"
"mouse1_lib3.final_cell_0068" 1 "beta"
"mouse1_lib3.final_cell_0069" 1 "beta"
"mouse1_lib3.final_cell_0070" 1 "ductal"
"mouse1_lib3.final_cell_0071" 1 "ductal"
"mouse1_lib3.final_cell_0072" 1 "ductal"
"mouse1_lib3.final_cell_0073" 1 "ductal"
"mouse1_lib3.final_cell_0074" 1 "beta"
"mouse1_lib3.final_cell_0075" 1 "beta"
"mouse1_lib3.final_cell_0076" 1 "ductal"
"mouse1_lib3.final_cell_0077" 1 "beta"
"mouse1_lib3.final_cell_0078" 1 "activated_stellate"
"mouse1_lib3.final_cell_0079" 1 "immune_other"
"mouse1_lib3.final_cell_0080" 1 "beta"
"mouse1_lib3.final_cell_0081" 1 "beta"
"mouse1_lib3.final_cell_0082" 1 "ductal"
"mouse1_lib3.final_cell_0083" 1 "beta"
"mouse1_lib3.final_cell_0084" 1 "beta"
"mouse1_lib3.final_cell_0085" 1 "quiescent_stellate"
"mouse1_lib3.final_cell_0086" 1 "ductal"
"mouse1_lib3.final_cell_0087" 1 "ductal"
"mouse1_lib3.final_cell_0088" 1 "delta"
"mouse1_lib3.final_cell_0089" 1 "ductal"
"mouse1_lib3.final_cell_0090" 1 "ductal"
"mouse1_lib3.final_cell_0091" 1 "ductal"
"mouse1_lib3.final_cell_0092" 1 "beta"
"mouse1_lib3.final_cell_0093" 1 "beta"
"mouse1_lib3.final_cell_0094" 1 "beta"
"mouse1_lib3.final_cell_0095" 1 "quiescent_stellate"
"mouse1_lib3.final_cell_0096" 1 "endothelial"
"mouse1_lib3.final_cell_0097" 1 "macrophage"
"mouse1_lib3.final_cell_0098" 1 "beta"
"mouse1_lib3.final_cell_0099" 1 "ductal"
"mouse1_lib3.final_cell_0100" 1 "beta"
"mouse1_lib3.final_cell_0101" 1 "endothelial"
"mouse1_lib3.final_cell_0102" 1 "beta"
"mouse1_lib3.final_cell_0103" 1 "gamma"
"mouse1_lib3.final_cell_0104" 1 "endothelial"
"mouse1_lib3.final_cell_0105" 1 "beta"
"mouse1_lib3.final_cell_0106" 1 "beta"
"mouse1_lib3.final_cell_0107" 1 "beta"
"mouse1_lib3.final_cell_0108" 1 "beta"
"mouse1_lib3.final_cell_0109" 1 "T_cell"
"mouse1_lib3.final_cell_0110" 1 "beta"
"mouse1_lib3.final_cell_0111" 1 "beta"
"mouse1_lib3.final_cell_0112" 1 "beta"
"mouse1_lib3.final_cell_0113" 1 "beta"
"mouse1_lib3.final_cell_0114" 1 "delta"
"mouse1_lib3.final_cell_0115" 1 "beta"
"mouse1_lib3.final_cell_0116" 1 "endothelial"
"mouse1_lib3.final_cell_0117" 1 "beta"
"mouse1_lib3.final_cell_0118" 1 "beta"
"mouse1_lib3.final_cell_0119" 1 "ductal"
"mouse1_lib3.final_cell_0120" 1 "delta"
"mouse1_lib3.final_cell_0121" 1 "delta"
"mouse1_lib3.final_cell_0122" 1 "beta"
"mouse1_lib3.final_cell_0123" 1 "delta"
"mouse1_lib3.final_cell_0124" 1 "beta"
"mouse1_lib3.final_cell_0125" 1 "endothelial"
"mouse1_lib3.final_cell_0126" 1 "delta"
"mouse1_lib3.final_cell_0127" 1 "ductal"
"mouse1_lib3.final_cell_0128" 1 "endothelial"
"mouse1_lib3.final_cell_0129" 1 "beta"
"mouse1_lib3.final_cell_0130" 1 "beta"
"mouse1_lib3.final_cell_0131" 1 "beta"
"mouse1_lib3.final_cell_0132" 1 "beta"
"mouse1_lib3.final_cell_0133" 1 "delta"
"mouse1_lib3.final_cell_0134" 1 "ductal"
"mouse1_lib3.final_cell_0135" 1 "beta"
"mouse1_lib3.final_cell_0136" 1 "delta"
"mouse1_lib3.final_cell_0137" 1 "beta"
"mouse1_lib3.final_cell_0138" 1 "beta"
"mouse1_lib3.final_cell_0139" 1 "beta"
"mouse1_lib3.final_cell_0140" 1 "beta"
"mouse1_lib3.final_cell_0141" 1 "beta"
"mouse1_lib3.final_cell_0142" 1 "beta"
"mouse1_lib3.final_cell_0143" 1 "beta"
"mouse1_lib3.final_cell_0144" 1 "delta"
"mouse1_lib3.final_cell_0145" 1 "ductal"
"mouse1_lib3.final_cell_0146" 1 "beta"
"mouse1_lib3.final_cell_0147" 1 "beta"
"mouse1_lib3.final_cell_0148" 1 "quiescent_stellate"
"mouse1_lib3.final_cell_0149" 1 "ductal"
"mouse1_lib3.final_cell_0150" 1 "delta"
"mouse1_lib3.final_cell_0151" 1 "beta"
"mouse1_lib3.final_cell_0152" 1 "beta"
"mouse1_lib3.final_cell_0153" 1 "beta"
"mouse1_lib3.final_cell_0154" 1 "ductal"
"mouse1_lib3.final_cell_0155" 1 "beta"
"mouse1_lib3.final_cell_0156" 1 "ductal"
"mouse1_lib3.final_cell_0157" 1 "ductal"
"mouse1_lib3.final_cell_0158" 1 "ductal"
"mouse1_lib3.final_cell_0159" 1 "beta"
"mouse1_lib3.final_cell_0160" 1 "beta"
"mouse1_lib3.final_cell_0161" 1 "ductal"
"mouse1_lib3.final_cell_0162" 1 "delta"
"mouse1_lib3.final_cell_0163" 1 "endothelial"
"mouse1_lib3.final_cell_0164" 1 "ductal"
"mouse1_lib3.final_cell_0165" 1 "beta"
"mouse1_lib3.final_cell_0166" 1 "ductal"
"mouse1_lib3.final_cell_0167" 1 "ductal"
"mouse1_lib3.final_cell_0168" 1 "delta"
"mouse1_lib3.final_cell_0169" 1 "quiescent_stellate"
"mouse1_lib3.final_cell_0170" 1 "endothelial"
"mouse1_lib3.final_cell_0171" 1 "beta"
"mouse1_lib3.final_cell_0172" 1 "beta"
"mouse1_lib3.final_cell_0173" 1 "delta"
"mouse1_lib3.final_cell_0174" 1 "ductal"
"mouse1_lib3.final_cell_0175" 1 "ductal"
"mouse1_lib3.final_cell_0176" 1 "beta"
"mouse1_lib3.final_cell_0177" 1 "delta"
"mouse1_lib3.final_cell_0178" 1 "beta"
"mouse1_lib3.final_cell_0179" 1 "ductal"
"mouse1_lib3.final_cell_0180" 1 "ductal"
"mouse1_lib3.final_cell_0181" 1 "beta"
"mouse1_lib3.final_cell_0182" 1 "beta"
"mouse1_lib3.final_cell_0183" 1 "beta"
"mouse1_lib3.final_cell_0184" 1 "endothelial"
"mouse1_lib3.final_cell_0185" 1 "ductal"
"mouse1_lib3.final_cell_0186" 1 "beta"
"mouse1_lib3.final_cell_0187" 1 "macrophage"
"mouse1_lib3.final_cell_0188" 1 "beta"
"mouse1_lib3.final_cell_0189" 1 "beta"
"mouse1_lib3.final_cell_0190" 1 "ductal"
"mouse1_lib3.final_cell_0191" 1 "beta"
"mouse1_lib3.final_cell_0192" 1 "beta"
"mouse1_lib3.final_cell_0193" 1 "beta"
"mouse1_lib3.final_cell_0194" 1 "beta"
"mouse1_lib3.final_cell_0195" 1 "beta"
"mouse1_lib3.final_cell_0196" 1 "beta"
"mouse1_lib3.final_cell_0197" 1 "ductal"
"mouse1_lib3.final_cell_0198" 1 "beta"
"mouse1_lib3.final_cell_0199" 1 "beta"
"mouse1_lib3.final_cell_0200" 1 "immune_other"
"mouse1_lib3.final_cell_0201" 1 "beta"
"mouse1_lib3.final_cell_0202" 1 "macrophage"
"mouse1_lib3.final_cell_0203" 1 "quiescent_stellate"
"mouse1_lib3.final_cell_0204" 1 "ductal"
"mouse1_lib3.final_cell_0205" 1 "beta"
"mouse1_lib3.final_cell_0206" 1 "beta"
"mouse1_lib3.final_cell_0207" 1 "ductal"
"mouse1_lib3.final_cell_0208" 1 "delta"
"mouse1_lib3.final_cell_0209" 1 "ductal"
"mouse1_lib3.final_cell_0210" 1 "beta"
"mouse1_lib3.final_cell_0211" 1 "beta"
"mouse1_lib3.final_cell_0212" 1 "beta"
"mouse1_lib3.final_cell_0213" 1 "beta"
"mouse1_lib3.final_cell_0214" 1 "ductal"
"mouse1_lib3.final_cell_0215" 1 "ductal"
"mouse1_lib3.final_cell_0216" 1 "activated_stellate"
"mouse1_lib3.final_cell_0217" 1 "ductal"
"mouse1_lib3.final_cell_0218" 1 "ductal"
"mouse1_lib3.final_cell_0219" 1 "beta"
"mouse1_lib3.final_cell_0220" 1 "B_cell"
"mouse1_lib3.final_cell_0221" 1 "ductal"
"mouse1_lib3.final_cell_0222" 1 "macrophage"
"mouse1_lib3.final_cell_0223" 1 "delta"
"mouse1_lib3.final_cell_0224" 1 "beta"
"mouse1_lib3.final_cell_0225" 1 "macrophage"
"mouse1_lib3.final_cell_0226" 1 "beta"
"mouse1_lib3.final_cell_0227" 1 "beta"
"mouse1_lib3.final_cell_0228" 1 "ductal"
"mouse1_lib3.final_cell_0229" 1 "ductal"
"mouse1_lib3.final_cell_0230" 1 "T_cell"
"mouse1_lib3.final_cell_0231" 1 "ductal"
"mouse1_lib3.final_cell_0232" 1 "ductal"
"mouse1_lib3.final_cell_0233" 1 "beta"
"mouse1_lib3.final_cell_0234" 1 "ductal"
"mouse1_lib3.final_cell_0235" 1 "ductal"
"mouse1_lib3.final_cell_0236" 1 "ductal"
"mouse1_lib3.final_cell_0237" 1 "ductal"
"mouse1_lib3.final_cell_0238" 1 "beta"
"mouse1_lib3.final_cell_0239" 1 "ductal"
"mouse1_lib3.final_cell_0240" 1 "ductal"
"mouse1_lib3.final_cell_0241" 1 "ductal"
"mouse1_lib3.final_cell_0242" 1 "beta"
"mouse1_lib3.final_cell_0243" 1 "ductal"
"mouse1_lib3.final_cell_0244" 1 "ductal"
"mouse1_lib3.final_cell_0245" 1 "delta"
"mouse1_lib3.final_cell_0246" 1 "delta"
"mouse1_lib3.final_cell_0247" 1 "ductal"
"mouse1_lib3.final_cell_0248" 1 "endothelial"
"mouse1_lib3.final_cell_0249" 1 "ductal"
"mouse1_lib3.final_cell_0250" 1 "T_cell"
"mouse1_lib3.final_cell_0251" 1 "ductal"
"mouse1_lib3.final_cell_0252" 1 "ductal"
"mouse1_lib3.final_cell_0253" 1 "endothelial"
"mouse1_lib3.final_cell_0254" 1 "ductal"
"mouse2_lib1.final_cell_0001" 2 "beta"
"mouse2_lib1.final_cell_0002" 2 "beta"
"mouse2_lib1.final_cell_0003" 2 "beta"
"mouse2_lib1.final_cell_0004" 2 "ductal"
"mouse2_lib1.final_cell_0005" 2 "beta"
"mouse2_lib1.final_cell_0006" 2 "beta"
"mouse2_lib1.final_cell_0007" 2 "beta"
"mouse2_lib1.final_cell_0008" 2 "beta"
"mouse2_lib1.final_cell_0009" 2 "delta"
"mouse2_lib1.final_cell_0010" 2 "beta"
"mouse2_lib1.final_cell_0011" 2 "beta"
"mouse2_lib1.final_cell_0012" 2 "beta"
"mouse2_lib1.final_cell_0013" 2 "alpha"
"mouse2_lib1.final_cell_0014" 2 "delta"
"mouse2_lib1.final_cell_0015" 2 "beta"
"mouse2_lib1.final_cell_0016" 2 "beta"
"mouse2_lib1.final_cell_0017" 2 "beta"
"mouse2_lib1.final_cell_0018" 2 "beta"
"mouse2_lib1.final_cell_0019" 2 "beta"
"mouse2_lib1.final_cell_0020" 2 "beta"
"mouse2_lib1.final_cell_0021" 2 "beta"
"mouse2_lib1.final_cell_0022" 2 "beta"
"mouse2_lib1.final_cell_0023" 2 "beta"
"mouse2_lib1.final_cell_0024" 2 "alpha"
"mouse2_lib1.final_cell_0025" 2 "beta"
"mouse2_lib1.final_cell_0026" 2 "beta"
"mouse2_lib1.final_cell_0027" 2 "beta"
"mouse2_lib1.final_cell_0028" 2 "beta"
"mouse2_lib1.final_cell_0029" 2 "beta"
"mouse2_lib1.final_cell_0030" 2 "ductal"
"mouse2_lib1.final_cell_0031" 2 "beta"
"mouse2_lib1.final_cell_0032" 2 "beta"
"mouse2_lib1.final_cell_0033" 2 "delta"
"mouse2_lib1.final_cell_0034" 2 "delta"
"mouse2_lib1.final_cell_0035" 2 "alpha"
"mouse2_lib1.final_cell_0036" 2 "beta"
"mouse2_lib1.final_cell_0037" 2 "alpha"
"mouse2_lib1.final_cell_0038" 2 "beta"
"mouse2_lib1.final_cell_0039" 2 "gamma"
"mouse2_lib1.final_cell_0040" 2 "delta"
"mouse2_lib1.final_cell_0041" 2 "beta"
"mouse2_lib1.final_cell_0042" 2 "delta"
"mouse2_lib1.final_cell_0043" 2 "beta"
"mouse2_lib1.final_cell_0044" 2 "delta"
"mouse2_lib1.final_cell_0045" 2 "delta"
"mouse2_lib1.final_cell_0046" 2 "beta"
"mouse2_lib1.final_cell_0047" 2 "beta"
"mouse2_lib1.final_cell_0048" 2 "alpha"
"mouse2_lib1.final_cell_0049" 2 "beta"
"mouse2_lib1.final_cell_0050" 2 "beta"
"mouse2_lib1.final_cell_0051" 2 "beta"
"mouse2_lib1.final_cell_0052" 2 "beta"
"mouse2_lib1.final_cell_0053" 2 "alpha"
"mouse2_lib1.final_cell_0054" 2 "beta"
"mouse2_lib1.final_cell_0055" 2 "beta"
"mouse2_lib1.final_cell_0056" 2 "alpha"
"mouse2_lib1.final_cell_0057" 2 "beta"
"mouse2_lib1.final_cell_0058" 2 "beta"
"mouse2_lib1.final_cell_0059" 2 "delta"
"mouse2_lib1.final_cell_0060" 2 "delta"
"mouse2_lib1.final_cell_0061" 2 "beta"
"mouse2_lib1.final_cell_0062" 2 "alpha"
"mouse2_lib1.final_cell_0063" 2 "ductal"
"mouse2_lib1.final_cell_0064" 2 "delta"
"mouse2_lib1.final_cell_0065" 2 "beta"
"mouse2_lib1.final_cell_0066" 2 "beta"
"mouse2_lib1.final_cell_0067" 2 "alpha"
"mouse2_lib1.final_cell_0068" 2 "alpha"
"mouse2_lib1.final_cell_0069" 2 "beta"
"mouse2_lib1.final_cell_0070" 2 "alpha"
"mouse2_lib1.final_cell_0071" 2 "alpha"
"mouse2_lib1.final_cell_0072" 2 "alpha"
"mouse2_lib1.final_cell_0073" 2 "beta"
"mouse2_lib1.final_cell_0074" 2 "beta"
"mouse2_lib1.final_cell_0075" 2 "beta"
"mouse2_lib1.final_cell_0076" 2 "alpha"
"mouse2_lib1.final_cell_0077" 2 "beta"
"mouse2_lib1.final_cell_0078" 2 "endothelial"
"mouse2_lib1.final_cell_0079" 2 "beta"
"mouse2_lib1.final_cell_0080" 2 "beta"
"mouse2_lib1.final_cell_0081" 2 "beta"
"mouse2_lib1.final_cell_0082" 2 "delta"
"mouse2_lib1.final_cell_0083" 2 "B_cell"
"mouse2_lib1.final_cell_0084" 2 "alpha"
"mouse2_lib1.final_cell_0085" 2 "alpha"
"mouse2_lib1.final_cell_0086" 2 "ductal"
"mouse2_lib1.final_cell_0087" 2 "beta"
"mouse2_lib1.final_cell_0088" 2 "beta"
"mouse2_lib1.final_cell_0089" 2 "beta"
"mouse2_lib1.final_cell_0090" 2 "beta"
"mouse2_lib1.final_cell_0091" 2 "delta"
"mouse2_lib1.final_cell_0092" 2 "alpha"
"mouse2_lib1.final_cell_0093" 2 "beta"
"mouse2_lib1.final_cell_0094" 2 "beta"
"mouse2_lib1.final_cell_0095" 2 "beta"
"mouse2_lib1.final_cell_0096" 2 "beta"
"mouse2_lib1.final_cell_0097" 2 "delta"
"mouse2_lib1.final_cell_0098" 2 "delta"
"mouse2_lib1.final_cell_0099" 2 "delta"
"mouse2_lib1.final_cell_0100" 2 "delta"
"mouse2_lib1.final_cell_0101" 2 "beta"
"mouse2_lib1.final_cell_0102" 2 "beta"
"mouse2_lib1.final_cell_0103" 2 "beta"
"mouse2_lib1.final_cell_0104" 2 "delta"
"mouse2_lib1.final_cell_0105" 2 "beta"
"mouse2_lib1.final_cell_0106" 2 "beta"
"mouse2_lib1.final_cell_0107" 2 "alpha"
"mouse2_lib1.final_cell_0108" 2 "beta"
"mouse2_lib1.final_cell_0109" 2 "delta"
"mouse2_lib1.final_cell_0110" 2 "gamma"
"mouse2_lib1.final_cell_0111" 2 "beta"
"mouse2_lib1.final_cell_0112" 2 "delta"
"mouse2_lib1.final_cell_0113" 2 "beta"
"mouse2_lib1.final_cell_0114" 2 "beta"
"mouse2_lib1.final_cell_0115" 2 "beta"
"mouse2_lib1.final_cell_0116" 2 "delta"
"mouse2_lib1.final_cell_0117" 2 "beta"
"mouse2_lib1.final_cell_0118" 2 "gamma"
"mouse2_lib1.final_cell_0119" 2 "gamma"
"mouse2_lib1.final_cell_0120" 2 "ductal"
"mouse2_lib1.final_cell_0121" 2 "beta"
"mouse2_lib1.final_cell_0122" 2 "beta"
"mouse2_lib1.final_cell_0123" 2 "beta"
"mouse2_lib1.final_cell_0124" 2 "beta"
"mouse2_lib1.final_cell_0125" 2 "beta"
"mouse2_lib1.final_cell_0126" 2 "beta"
"mouse2_lib1.final_cell_0127" 2 "alpha"
"mouse2_lib1.final_cell_0128" 2 "alpha"
"mouse2_lib1.final_cell_0129" 2 "endothelial"
"mouse2_lib1.final_cell_0130" 2 "beta"
"mouse2_lib1.final_cell_0131" 2 "beta"
"mouse2_lib1.final_cell_0132" 2 "beta"
"mouse2_lib1.final_cell_0133" 2 "beta"
"mouse2_lib1.final_cell_0134" 2 "beta"
"mouse2_lib1.final_cell_0135" 2 "beta"
"mouse2_lib1.final_cell_0136" 2 "beta"
"mouse2_lib1.final_cell_0137" 2 "beta"
"mouse2_lib1.final_cell_0138" 2 "alpha"
"mouse2_lib1.final_cell_0139" 2 "beta"
"mouse2_lib1.final_cell_0140" 2 "beta"
"mouse2_lib1.final_cell_0141" 2 "ductal"
"mouse2_lib1.final_cell_0142" 2 "ductal"
"mouse2_lib1.final_cell_0143" 2 "beta"
"mouse2_lib1.final_cell_0144" 2 "gamma"
"mouse2_lib1.final_cell_0145" 2 "delta"
"mouse2_lib1.final_cell_0146" 2 "gamma"
"mouse2_lib1.final_cell_0147" 2 "beta"
"mouse2_lib1.final_cell_0148" 2 "alpha"
"mouse2_lib1.final_cell_0149" 2 "alpha"
"mouse2_lib1.final_cell_0150" 2 "beta"
"mouse2_lib1.final_cell_0151" 2 "beta"
"mouse2_lib1.final_cell_0152" 2 "ductal"
"mouse2_lib1.final_cell_0153" 2 "alpha"
"mouse2_lib1.final_cell_0154" 2 "beta"
"mouse2_lib1.final_cell_0155" 2 "beta"
"mouse2_lib1.final_cell_0156" 2 "alpha"
"mouse2_lib1.final_cell_0157" 2 "alpha"
"mouse2_lib1.final_cell_0158" 2 "alpha"
"mouse2_lib1.final_cell_0159" 2 "beta"
"mouse2_lib1.final_cell_0160" 2 "beta"
"mouse2_lib1.final_cell_0161" 2 "beta"
"mouse2_lib1.final_cell_0162" 2 "gamma"
"mouse2_lib1.final_cell_0163" 2 "delta"
"mouse2_lib1.final_cell_0164" 2 "beta"
"mouse2_lib1.final_cell_0165" 2 "alpha"
"mouse2_lib1.final_cell_0166" 2 "beta"
"mouse2_lib1.final_cell_0167" 2 "delta"
"mouse2_lib1.final_cell_0168" 2 "beta"
"mouse2_lib1.final_cell_0169" 2 "delta"
"mouse2_lib1.final_cell_0170" 2 "beta"
"mouse2_lib1.final_cell_0171" 2 "alpha"
"mouse2_lib1.final_cell_0172" 2 "beta"
"mouse2_lib1.final_cell_0173" 2 "delta"
"mouse2_lib1.final_cell_0174" 2 "beta"
"mouse2_lib1.final_cell_0175" 2 "alpha"
"mouse2_lib1.final_cell_0176" 2 "beta"
"mouse2_lib1.final_cell_0177" 2 "beta"
"mouse2_lib1.final_cell_0178" 2 "alpha"
"mouse2_lib1.final_cell_0179" 2 "beta"
"mouse2_lib1.final_cell_0180" 2 "beta"
"mouse2_lib1.final_cell_0181" 2 "alpha"
"mouse2_lib1.final_cell_0182" 2 "alpha"
"mouse2_lib1.final_cell_0183" 2 "beta"
"mouse2_lib1.final_cell_0184" 2 "alpha"
"mouse2_lib1.final_cell_0185" 2 "beta"
"mouse2_lib1.final_cell_0186" 2 "alpha"
"mouse2_lib1.final_cell_0187" 2 "alpha"
"mouse2_lib1.final_cell_0188" 2 "beta"
"mouse2_lib1.final_cell_0189" 2 "alpha"
"mouse2_lib1.final_cell_0190" 2 "beta"
"mouse2_lib1.final_cell_0191" 2 "beta"
"mouse2_lib1.final_cell_0192" 2 "beta"
"mouse2_lib1.final_cell_0193" 2 "beta"
"mouse2_lib1.final_cell_0194" 2 "alpha"
"mouse2_lib1.final_cell_0195" 2 "beta"
"mouse2_lib1.final_cell_0196" 2 "alpha"
"mouse2_lib1.final_cell_0197" 2 "beta"
"mouse2_lib1.final_cell_0198" 2 "macrophage"
"mouse2_lib1.final_cell_0199" 2 "alpha"
"mouse2_lib1.final_cell_0200" 2 "beta"
"mouse2_lib1.final_cell_0201" 2 "beta"
"mouse2_lib1.final_cell_0202" 2 "beta"
"mouse2_lib1.final_cell_0203" 2 "delta"
"mouse2_lib1.final_cell_0204" 2 "gamma"
"mouse2_lib1.final_cell_0205" 2 "macrophage"
"mouse2_lib1.final_cell_0206" 2 "gamma"
"mouse2_lib1.final_cell_0207" 2 "beta"
"mouse2_lib1.final_cell_0208" 2 "macrophage"
"mouse2_lib1.final_cell_0209" 2 "alpha"
"mouse2_lib1.final_cell_0210" 2 "alpha"
"mouse2_lib1.final_cell_0211" 2 "beta"
"mouse2_lib1.final_cell_0212" 2 "beta"
"mouse2_lib1.final_cell_0213" 2 "endothelial"
"mouse2_lib1.final_cell_0214" 2 "beta"
"mouse2_lib1.final_cell_0215" 2 "beta"
"mouse2_lib1.final_cell_0216" 2 "delta"
"mouse2_lib1.final_cell_0217" 2 "gamma"
"mouse2_lib1.final_cell_0218" 2 "beta"
"mouse2_lib1.final_cell_0219" 2 "beta"
"mouse2_lib1.final_cell_0220" 2 "immune_other"
"mouse2_lib1.final_cell_0221" 2 "beta"
"mouse2_lib1.final_cell_0222" 2 "delta"
"mouse2_lib1.final_cell_0223" 2 "beta"
"mouse2_lib1.final_cell_0224" 2 "delta"
