"human" "cell_type1"
"human1_lib3.final_cell_0077" 1 "delta"
"human1_lib3.final_cell_0078" 1 "delta"
"human1_lib3.final_cell_0079" 1 "beta"
"human1_lib3.final_cell_0080" 1 "alpha"
"human1_lib3.final_cell_0081" 1 "beta"
"human1_lib3.final_cell_0082" 1 "acinar"
"human1_lib3.final_cell_0083" 1 "alpha"
"human1_lib3.final_cell_0084" 1 "alpha"
"human1_lib3.final_cell_0085" 1 "beta"
"human1_lib3.final_cell_0086" 1 "beta"
"human1_lib3.final_cell_0087" 1 "beta"
"human1_lib3.final_cell_0088" 1 "beta"
"human1_lib3.final_cell_0089" 1 "beta"
"human1_lib3.final_cell_0090" 1 "beta"
"human1_lib3.final_cell_0091" 1 "beta"
"human1_lib3.final_cell_0092" 1 "beta"
"human1_lib3.final_cell_0093" 1 "delta"
"human1_lib3.final_cell_0094" 1 "beta"
"human1_lib3.final_cell_0095" 1 "beta"
"human1_lib3.final_cell_0096" 1 "delta"
"human1_lib3.final_cell_0097" 1 "beta"
"human1_lib3.final_cell_0098" 1 "beta"
"human1_lib3.final_cell_0099" 1 "beta"
"human1_lib3.final_cell_0100" 1 "alpha"
"human1_lib3.final_cell_0101" 1 "delta"
"human1_lib3.final_cell_0102" 1 "alpha"
"human1_lib3.final_cell_0103" 1 "beta"
"human1_lib3.final_cell_0104" 1 "delta"
"human1_lib3.final_cell_0105" 1 "beta"
"human1_lib3.final_cell_0106" 1 "activated_stellate"
"human1_lib3.final_cell_0107" 1 "beta"
"human1_lib3.final_cell_0108" 1 "beta"
"human1_lib3.final_cell_0109" 1 "delta"
"human1_lib3.final_cell_0110" 1 "delta"
"human1_lib3.final_cell_0111" 1 "ductal"
"human1_lib3.final_cell_0112" 1 "acinar"
"human1_lib3.final_cell_0113" 1 "acinar"
"human1_lib3.final_cell_0114" 1 "delta"
"human1_lib3.final_cell_0115" 1 "ductal"
"human1_lib3.final_cell_0116" 1 "delta"
"human1_lib3.final_cell_0117" 1 "beta"
"human1_lib3.final_cell_0118" 1 "ductal"
"human1_lib3.final_cell_0119" 1 "beta"
"human1_lib3.final_cell_0120" 1 "beta"
"human1_lib3.final_cell_0121" 1 "beta"
"human1_lib3.final_cell_0122" 1 "beta"
"human1_lib3.final_cell_0123" 1 "alpha"
"human1_lib3.final_cell_0124" 1 "beta"
"human1_lib3.final_cell_0125" 1 "beta"
"human1_lib3.final_cell_0126" 1 "beta"
"human1_lib3.final_cell_0127" 1 "beta"
"human1_lib3.final_cell_0128" 1 "beta"
"human1_lib3.final_cell_0129" 1 "alpha"
"human1_lib3.final_cell_0130" 1 "acinar"
"human1_lib3.final_cell_0131" 1 "beta"
"human1_lib3.final_cell_0132" 1 "beta"
"human1_lib3.final_cell_0133" 1 "beta"
"human1_lib3.final_cell_0134" 1 "beta"
"human1_lib3.final_cell_0135" 1 "delta"
"human1_lib3.final_cell_0136" 1 "beta"
"human1_lib3.final_cell_0137" 1 "beta"
"human1_lib3.final_cell_0138" 1 "beta"
"human1_lib3.final_cell_0139" 1 "activated_stellate"
"human1_lib3.final_cell_0140" 1 "beta"
"human1_lib3.final_cell_0141" 1 "delta"
"human1_lib3.final_cell_0142" 1 "beta"
"human1_lib3.final_cell_0143" 1 "acinar"
"human1_lib3.final_cell_0144" 1 "beta"
"human1_lib3.final_cell_0145" 1 "beta"
"human1_lib3.final_cell_0146" 1 "activated_stellate"
"human1_lib3.final_cell_0147" 1 "alpha"
"human1_lib3.final_cell_0148" 1 "beta"
"human1_lib3.final_cell_0149" 1 "beta"
"human1_lib3.final_cell_0150" 1 "quiescent_stellate"
"human1_lib3.final_cell_0151" 1 "activated_stellate"
"human1_lib3.final_cell_0152" 1 "acinar"
"human1_lib3.final_cell_0153" 1 "beta"
"human1_lib3.final_cell_0154" 1 "alpha"
"human1_lib3.final_cell_0155" 1 "delta"
"human1_lib3.final_cell_0156" 1 "acinar"
"human1_lib3.final_cell_0157" 1 "beta"
"human1_lib3.final_cell_0158" 1 "beta"
"human1_lib3.final_cell_0159" 1 "beta"
"human1_lib3.final_cell_0160" 1 "beta"
"human1_lib3.final_cell_0161" 1 "ductal"
"human1_lib3.final_cell_0162" 1 "beta"
"human1_lib3.final_cell_0163" 1 "acinar"
"human1_lib3.final_cell_0164" 1 "beta"
"human1_lib3.final_cell_0165" 1 "beta"
"human1_lib3.final_cell_0166" 1 "beta"
"human1_lib3.final_cell_0167" 1 "beta"
"human1_lib3.final_cell_0168" 1 "beta"
"human1_lib3.final_cell_0169" 1 "beta"
"human1_lib3.final_cell_0170" 1 "alpha"
"human1_lib3.final_cell_0171" 1 "acinar"
"human1_lib3.final_cell_0172" 1 "beta"
"human1_lib3.final_cell_0173" 1 "beta"
"human1_lib3.final_cell_0174" 1 "alpha"
"human1_lib3.final_cell_0175" 1 "beta"
"human1_lib3.final_cell_0176" 1 "beta"
"human1_lib3.final_cell_0177" 1 "gamma"
"human1_lib3.final_cell_0178" 1 "delta"
"human1_lib3.final_cell_0179" 1 "macrophage"
"human1_lib3.final_cell_0180" 1 "alpha"
"human1_lib3.final_cell_0181" 1 "delta"
"human1_lib3.final_cell_0182" 1 "beta"
"human1_lib3.final_cell_0183" 1 "ductal"
"human1_lib3.final_cell_0184" 1 "ductal"
"human1_lib3.final_cell_0185" 1 "alpha"
"human1_lib3.final_cell_0186" 1 "beta"
"human1_lib3.final_cell_0187" 1 "beta"
"human1_lib3.final_cell_0188" 1 "acinar"
"human1_lib3.final_cell_0189" 1 "endothelial"
"human1_lib3.final_cell_0190" 1 "alpha"
"human1_lib3.final_cell_0191" 1 "gamma"
"human1_lib3.final_cell_0192" 1 "beta"
"human1_lib3.final_cell_0193" 1 "quiescent_stellate"
"human1_lib3.final_cell_0194" 1 "beta"
"human1_lib3.final_cell_0195" 1 "delta"
"human1_lib3.final_cell_0196" 1 "beta"
"human1_lib3.final_cell_0197" 1 "ductal"
"human1_lib3.final_cell_0198" 1 "beta"
"human1_lib3.final_cell_0199" 1 "alpha"
"human1_lib3.final_cell_0200" 1 "beta"
"human1_lib3.final_cell_0201" 1 "delta"
"human1_lib3.final_cell_0202" 1 "beta"
"human1_lib3.final_cell_0203" 1 "alpha"
"human1_lib3.final_cell_0204" 1 "quiescent_stellate"
"human1_lib3.final_cell_0205" 1 "ductal"
"human1_lib3.final_cell_0206" 1 "delta"
"human1_lib3.final_cell_0207" 1 "beta"
"human1_lib3.final_cell_0208" 1 "beta"
"human1_lib3.final_cell_0209" 1 "delta"
"human1_lib3.final_cell_0210" 1 "alpha"
"human1_lib3.final_cell_0211" 1 "beta"
"human1_lib3.final_cell_0212" 1 "beta"
"human1_lib3.final_cell_0213" 1 "delta"
"human1_lib3.final_cell_0214" 1 "beta"
"human1_lib3.final_cell_0215" 1 "beta"
"human1_lib3.final_cell_0216" 1 "delta"
"human1_lib3.final_cell_0217" 1 "ductal"
"human1_lib3.final_cell_0218" 1 "ductal"
"human1_lib3.final_cell_0219" 1 "beta"
"human1_lib3.final_cell_0220" 1 "beta"
"human1_lib3.final_cell_0221" 1 "beta"
"human1_lib3.final_cell_0222" 1 "beta"
"human1_lib3.final_cell_0223" 1 "endothelial"
"human1_lib3.final_cell_0224" 1 "beta"
"human1_lib3.final_cell_0225" 1 "beta"
"human1_lib3.final_cell_0226" 1 "alpha"
"human1_lib3.final_cell_0227" 1 "beta"
"human1_lib3.final_cell_0228" 1 "beta"
"human1_lib3.final_cell_0229" 1 "alpha"
"human1_lib3.final_cell_0230" 1 "beta"
"human1_lib3.final_cell_0231" 1 "acinar"
"human1_lib3.final_cell_0232" 1 "delta"
"human1_lib3.final_cell_0233" 1 "beta"
"human1_lib3.final_cell_0234" 1 "beta"
"human1_lib3.final_cell_0235" 1 "ductal"
"human1_lib3.final_cell_0236" 1 "ductal"
"human1_lib3.final_cell_0237" 1 "beta"
"human1_lib3.final_cell_0238" 1 "alpha"
"human1_lib3.final_cell_0239" 1 "beta"
"human1_lib3.final_cell_0240" 1 "beta"
"human1_lib3.final_cell_0241" 1 "ductal"
"human1_lib3.final_cell_0242" 1 "alpha"
"human1_lib3.final_cell_0243" 1 "activated_stellate"
"human1_lib3.final_cell_0244" 1 "beta"
"human1_lib3.final_cell_0245" 1 "alpha"
"human1_lib3.final_cell_0246" 1 "ductal"
"human1_lib3.final_cell_0247" 1 "delta"
"human1_lib3.final_cell_0248" 1 "alpha"
"human1_lib3.final_cell_0249" 1 "gamma"
"human1_lib3.final_cell_0250" 1 "beta"
"human1_lib3.final_cell_0251" 1 "activated_stellate"
"human1_lib3.final_cell_0252" 1 "ductal"
"human1_lib3.final_cell_0253" 1 "beta"
"human1_lib3.final_cell_0254" 1 "beta"
"human1_lib3.final_cell_0255" 1 "activated_stellate"
"human1_lib3.final_cell_0256" 1 "beta"
"human1_lib3.final_cell_0257" 1 "delta"
"human1_lib3.final_cell_0258" 1 "activated_stellate"
"human1_lib3.final_cell_0259" 1 "beta"
"human1_lib3.final_cell_0260" 1 "gamma"
"human1_lib3.final_cell_0261" 1 "beta"
"human1_lib3.final_cell_0262" 1 "beta"
"human1_lib3.final_cell_0263" 1 "beta"
"human1_lib3.final_cell_0264" 1 "delta"
"human1_lib3.final_cell_0265" 1 "beta"
"human1_lib3.final_cell_0266" 1 "beta"
"human1_lib3.final_cell_0267" 1 "alpha"
"human1_lib3.final_cell_0268" 1 "beta"
"human1_lib3.final_cell_0269" 1 "alpha"
"human1_lib3.final_cell_0270" 1 "epsilon"
"human1_lib3.final_cell_0271" 1 "activated_stellate"
"human1_lib3.final_cell_0272" 1 "beta"
"human1_lib3.final_cell_0273" 1 "alpha"
"human1_lib3.final_cell_0274" 1 "ductal"
"human1_lib3.final_cell_0275" 1 "alpha"
"human1_lib3.final_cell_0276" 1 "beta"
"human1_lib3.final_cell_0277" 1 "beta"
"human1_lib3.final_cell_0278" 1 "delta"
"human1_lib3.final_cell_0279" 1 "ductal"
"human1_lib3.final_cell_0280" 1 "beta"
"human1_lib3.final_cell_0281" 1 "alpha"
"human1_lib3.final_cell_0282" 1 "delta"
"human1_lib3.final_cell_0283" 1 "beta"
"human1_lib3.final_cell_0284" 1 "beta"
"human1_lib3.final_cell_0285" 1 "beta"
"human1_lib3.final_cell_0286" 1 "beta"
"human1_lib3.final_cell_0287" 1 "beta"
"human1_lib3.final_cell_0288" 1 "activated_stellate"
"human1_lib3.final_cell_0289" 1 "alpha"
"human1_lib3.final_cell_0290" 1 "beta"
"human1_lib3.final_cell_0291" 1 "ductal"
"human1_lib3.final_cell_0292" 1 "delta"
"human1_lib3.final_cell_0293" 1 "alpha"
"human1_lib3.final_cell_0294" 1 "alpha"
"human1_lib3.final_cell_0295" 1 "beta"
"human1_lib3.final_cell_0296" 1 "beta"
"human1_lib3.final_cell_0297" 1 "beta"
"human1_lib3.final_cell_0298" 1 "delta"
"human1_lib3.final_cell_0299" 1 "alpha"
"human1_lib3.final_cell_0300" 1 "beta"
"human1_lib3.final_cell_0301" 1 "beta"
"human1_lib3.final_cell_0302" 1 "beta"
"human1_lib3.final_cell_0303" 1 "beta"
"human1_lib3.final_cell_0304" 1 "beta"
"human1_lib3.final_cell_0305" 1 "delta"
"human1_lib3.final_cell_0306" 1 "beta"
"human1_lib3.final_cell_0307" 1 "beta"
"human1_lib3.final_cell_0308" 1 "beta"
"human1_lib3.final_cell_0309" 1 "alpha"
"human1_lib3.final_cell_0310" 1 "beta"
"human1_lib3.final_cell_0311" 1 "gamma"
"human1_lib3.final_cell_0312" 1 "beta"
"human1_lib3.final_cell_0313" 1 "activated_stellate"
"human1_lib3.final_cell_0314" 1 "beta"
"human1_lib3.final_cell_0315" 1 "alpha"
"human1_lib3.final_cell_0316" 1 "alpha"
"human1_lib3.final_cell_0317" 1 "beta"
"human1_lib3.final_cell_0318" 1 "beta"
"human1_lib3.final_cell_0319" 1 "delta"
"human1_lib3.final_cell_0320" 1 "beta"
"human1_lib3.final_cell_0321" 1 "beta"
"human1_lib3.final_cell_0322" 1 "beta"
"human1_lib3.final_cell_0323" 1 "beta"
"human1_lib3.final_cell_0324" 1 "beta"
"human1_lib3.final_cell_0325" 1 "beta"
"human1_lib3.final_cell_0326" 1 "quiescent_stellate"
"human1_lib3.final_cell_0327" 1 "ductal"
"human1_lib3.final_cell_0328" 1 "ductal"
"human1_lib3.final_cell_0329" 1 "delta"
"human1_lib3.final_cell_0330" 1 "alpha"
"human1_lib3.final_cell_0331" 1 "beta"
"human1_lib3.final_cell_0332" 1 "beta"
"human1_lib3.final_cell_0333" 1 "beta"
"human1_lib3.final_cell_0334" 1 "beta"
"human1_lib3.final_cell_0335" 1 "beta"
"human1_lib3.final_cell_0336" 1 "beta"
"human1_lib3.final_cell_0337" 1 "gamma"
"human1_lib3.final_cell_0338" 1 "beta"
"human1_lib3.final_cell_0339" 1 "beta"
"human1_lib3.final_cell_0340" 1 "gamma"
"human1_lib3.final_cell_0341" 1 "alpha"
"human1_lib3.final_cell_0342" 1 "beta"
"human1_lib3.final_cell_0343" 1 "alpha"
"human1_lib3.final_cell_0344" 1 "alpha"
"human1_lib3.final_cell_0345" 1 "beta"
"human1_lib3.final_cell_0346" 1 "delta"
"human1_lib3.final_cell_0347" 1 "beta"
"human1_lib3.final_cell_0348" 1 "beta"
"human1_lib3.final_cell_0349" 1 "beta"
"human1_lib3.final_cell_0350" 1 "beta"
"human1_lib3.final_cell_0351" 1 "endothelial"
"human1_lib3.final_cell_0352" 1 "beta"
"human1_lib3.final_cell_0353" 1 "quiescent_stellate"
"human1_lib3.final_cell_0354" 1 "beta"
"human1_lib3.final_cell_0355" 1 "beta"
"human1_lib3.final_cell_0356" 1 "alpha"
"human1_lib3.final_cell_0357" 1 "ductal"
"human1_lib3.final_cell_0358" 1 "beta"
"human1_lib3.final_cell_0359" 1 "beta"
"human1_lib3.final_cell_0360" 1 "gamma"
"human1_lib3.final_cell_0361" 1 "alpha"
"human1_lib3.final_cell_0362" 1 "gamma"
"human1_lib3.final_cell_0363" 1 "beta"
"human1_lib3.final_cell_0364" 1 "beta"
"human1_lib3.final_cell_0365" 1 "alpha"
"human1_lib3.final_cell_0366" 1 "alpha"
"human1_lib3.final_cell_0367" 1 "ductal"
"human1_lib3.final_cell_0368" 1 "beta"
"human1_lib3.final_cell_0369" 1 "alpha"
"human1_lib3.final_cell_0370" 1 "beta"
"human1_lib3.final_cell_0371" 1 "delta"
"human1_lib3.final_cell_0372" 1 "ductal"
"human1_lib3.final_cell_0373" 1 "beta"
"human1_lib3.final_cell_0374" 1 "beta"
"human1_lib3.final_cell_0375" 1 "beta"
"human1_lib3.final_cell_0376" 1 "beta"
"human1_lib3.final_cell_0377" 1 "beta"
"human1_lib3.final_cell_0378" 1 "beta"
"human1_lib3.final_cell_0379" 1 "ductal"
"human1_lib3.final_cell_0380" 1 "beta"
"human1_lib3.final_cell_0381" 1 "alpha"
"human1_lib3.final_cell_0382" 1 "beta"
"human1_lib3.final_cell_0383" 1 "beta"
"human1_lib3.final_cell_0384" 1 "alpha"
"human1_lib3.final_cell_0385" 1 "acinar"
"human1_lib3.final_cell_0386" 1 "acinar"
"human1_lib3.final_cell_0387" 1 "beta"
"human1_lib3.final_cell_0388" 1 "beta"
"human1_lib3.final_cell_0389" 1 "beta"
"human1_lib3.final_cell_0390" 1 "alpha"
"human1_lib3.final_cell_0391" 1 "alpha"
"human1_lib3.final_cell_0392" 1 "alpha"
"human1_lib3.final_cell_0393" 1 "alpha"
"human1_lib3.final_cell_0394" 1 "beta"
"human1_lib3.final_cell_0395" 1 "alpha"
"human1_lib3.final_cell_0396" 1 "beta"
"human1_lib3.final_cell_0397" 1 "alpha"
"human1_lib3.final_cell_0398" 1 "beta"
"human1_lib3.final_cell_0399" 1 "beta"
"human1_lib3.final_cell_0400" 1 "beta"
"human1_lib3.final_cell_0401" 1 "alpha"
"human1_lib3.final_cell_0402" 1 "delta"
"human1_lib3.final_cell_0403" 1 "alpha"
"human1_lib3.final_cell_0404" 1 "beta"
"human1_lib3.final_cell_0405" 1 "beta"
"human1_lib3.final_cell_0406" 1 "beta"
"human1_lib3.final_cell_0407" 1 "alpha"
"human1_lib3.final_cell_0408" 1 "gamma"
"human1_lib3.final_cell_0409" 1 "acinar"
"human1_lib3.final_cell_0410" 1 "beta"
"human1_lib3.final_cell_0411" 1 "ductal"
"human1_lib3.final_cell_0412" 1 "delta"
"human1_lib3.final_cell_0413" 1 "beta"
"human1_lib3.final_cell_0414" 1 "ductal"
"human1_lib3.final_cell_0415" 1 "gamma"
"human1_lib3.final_cell_0416" 1 "beta"
"human1_lib3.final_cell_0417" 1 "quiescent_stellate"
"human1_lib3.final_cell_0418" 1 "ductal"
"human1_lib3.final_cell_0419" 1 "delta"
"human1_lib3.final_cell_0420" 1 "gamma"
"human1_lib3.final_cell_0421" 1 "beta"
"human1_lib3.final_cell_0422" 1 "beta"
"human1_lib3.final_cell_0423" 1 "beta"
"human1_lib3.final_cell_0424" 1 "gamma"
"human1_lib3.final_cell_0425" 1 "ductal"
"human1_lib3.final_cell_0426" 1 "alpha"
"human1_lib3.final_cell_0427" 1 "acinar"
"human1_lib3.final_cell_0428" 1 "ductal"
"human1_lib3.final_cell_0429" 1 "endothelial"
"human1_lib3.final_cell_0430" 1 "alpha"
"human1_lib3.final_cell_0431" 1 "endothelial"
"human1_lib3.final_cell_0432" 1 "beta"
"human1_lib3.final_cell_0433" 1 "beta"
"human1_lib3.final_cell_0434" 1 "beta"
"human1_lib3.final_cell_0435" 1 "beta"
"human1_lib3.final_cell_0436" 1 "alpha"
"human1_lib3.final_cell_0437" 1 "beta"
"human1_lib3.final_cell_0438" 1 "ductal"
"human1_lib3.final_cell_0439" 1 "ductal"
"human1_lib3.final_cell_0440" 1 "beta"
"human1_lib3.final_cell_0441" 1 "beta"
"human1_lib3.final_cell_0442" 1 "gamma"
"human1_lib3.final_cell_0443" 1 "beta"
"human1_lib3.final_cell_0444" 1 "quiescent_stellate"
"human1_lib3.final_cell_0445" 1 "ductal"
"human1_lib3.final_cell_0446" 1 "beta"
"human1_lib3.final_cell_0447" 1 "acinar"
"human1_lib3.final_cell_0448" 1 "ductal"
"human1_lib3.final_cell_0449" 1 "endothelial"
"human1_lib3.final_cell_0450" 1 "acinar"
"human1_lib3.final_cell_0451" 1 "gamma"
"human1_lib3.final_cell_0452" 1 "beta"
"human1_lib3.final_cell_0453" 1 "beta"
"human1_lib3.final_cell_0454" 1 "quiescent_stellate"
"human1_lib3.final_cell_0455" 1 "beta"
"human1_lib3.final_cell_0456" 1 "beta"
"human1_lib3.final_cell_0457" 1 "epsilon"
"human1_lib3.final_cell_0458" 1 "beta"
"human1_lib3.final_cell_0459" 1 "alpha"
"human1_lib3.final_cell_0460" 1 "alpha"
"human1_lib3.final_cell_0461" 1 "delta"
"human1_lib3.final_cell_0462" 1 "beta"
"human1_lib3.final_cell_0463" 1 "epsilon"
"human1_lib3.final_cell_0464" 1 "beta"
"human1_lib3.final_cell_0465" 1 "alpha"
"human1_lib3.final_cell_0466" 1 "beta"
"human1_lib3.final_cell_0467" 1 "beta"
"human1_lib3.final_cell_0468" 1 "gamma"
"human1_lib3.final_cell_0469" 1 "acinar"
"human1_lib3.final_cell_0470" 1 "beta"
"human1_lib3.final_cell_0471" 1 "alpha"
"human1_lib3.final_cell_0472" 1 "beta"
"human1_lib3.final_cell_0473" 1 "alpha"
"human1_lib3.final_cell_0474" 1 "ductal"
"human1_lib3.final_cell_0475" 1 "alpha"
"human1_lib3.final_cell_0476" 1 "beta"
"human1_lib3.final_cell_0477" 1 "beta"
"human1_lib3.final_cell_0478" 1 "gamma"
"human1_lib3.final_cell_0479" 1 "beta"
"human1_lib3.final_cell_0480" 1 "beta"
"human1_lib3.final_cell_0481" 1 "delta"
"human1_lib3.final_cell_0482" 1 "delta"
"human1_lib3.final_cell_0483" 1 "delta"
"human1_lib3.final_cell_0484" 1 "quiescent_stellate"
"human1_lib3.final_cell_0485" 1 "beta"
"human1_lib3.final_cell_0486" 1 "beta"
"human1_lib3.final_cell_0487" 1 "alpha"
"human1_lib3.final_cell_0488" 1 "beta"
"human1_lib3.final_cell_0489" 1 "alpha"
"human1_lib3.final_cell_0490" 1 "alpha"
"human1_lib3.final_cell_0491" 1 "beta"
"human1_lib3.final_cell_0492" 1 "beta"
"human1_lib3.final_cell_0493" 1 "beta"
"human1_lib3.final_cell_0494" 1 "alpha"
"human1_lib3.final_cell_0495" 1 "beta"
"human1_lib3.final_cell_0496" 1 "beta"
"human1_lib3.final_cell_0497" 1 "quiescent_stellate"
"human1_lib3.final_cell_0498" 1 "alpha"
"human1_lib3.final_cell_0499" 1 "endothelial"
"human1_lib3.final_cell_0500" 1 "gamma"
"human1_lib3.final_cell_0501" 1 "beta"
"human1_lib3.final_cell_0502" 1 "beta"
"human1_lib3.final_cell_0503" 1 "quiescent_stellate"
"human1_lib3.final_cell_0504" 1 "beta"
"human1_lib3.final_cell_0505" 1 "alpha"
"human1_lib3.final_cell_0506" 1 "delta"
"human1_lib3.final_cell_0507" 1 "beta"
"human1_lib3.final_cell_0508" 1 "acinar"
"human1_lib3.final_cell_0509" 1 "beta"
"human1_lib3.final_cell_0510" 1 "endothelial"
"human1_lib3.final_cell_0511" 1 "endothelial"
"human1_lib3.final_cell_0512" 1 "beta"
"human1_lib3.final_cell_0513" 1 "beta"
"human1_lib3.final_cell_0514" 1 "alpha"
"human1_lib3.final_cell_0515" 1 "beta"
"human1_lib3.final_cell_0516" 1 "mast"
"human1_lib3.final_cell_0517" 1 "beta"
"human1_lib3.final_cell_0518" 1 "alpha"
"human1_lib3.final_cell_0519" 1 "endothelial"
"human1_lib3.final_cell_0520" 1 "beta"
"human1_lib3.final_cell_0521" 1 "beta"
"human1_lib3.final_cell_0522" 1 "beta"
"human1_lib3.final_cell_0523" 1 "endothelial"
"human1_lib3.final_cell_0524" 1 "alpha"
"human1_lib3.final_cell_0525" 1 "beta"
"human1_lib3.final_cell_0526" 1 "beta"
"human1_lib3.final_cell_0527" 1 "beta"
"human1_lib3.final_cell_0528" 1 "beta"
"human1_lib3.final_cell_0529" 1 "alpha"
"human1_lib3.final_cell_0530" 1 "mast"
"human1_lib3.final_cell_0531" 1 "beta"
"human1_lib3.final_cell_0532" 1 "epsilon"
"human1_lib3.final_cell_0533" 1 "endothelial"
"human1_lib3.final_cell_0534" 1 "quiescent_stellate"
"human1_lib3.final_cell_0535" 1 "alpha"
"human1_lib3.final_cell_0536" 1 "alpha"
"human1_lib3.final_cell_0537" 1 "beta"
"human1_lib3.final_cell_0538" 1 "beta"
"human1_lib3.final_cell_0539" 1 "acinar"
"human1_lib3.final_cell_0540" 1 "delta"
"human1_lib3.final_cell_0541" 1 "acinar"
"human1_lib3.final_cell_0542" 1 "beta"
"human1_lib3.final_cell_0543" 1 "beta"
"human1_lib3.final_cell_0544" 1 "endothelial"
"human1_lib3.final_cell_0545" 1 "beta"
"human1_lib3.final_cell_0546" 1 "macrophage"
"human1_lib3.final_cell_0547" 1 "acinar"
"human1_lib3.final_cell_0548" 1 "quiescent_stellate"
"human1_lib3.final_cell_0549" 1 "beta"
"human1_lib3.final_cell_0550" 1 "beta"
"human1_lib3.final_cell_0551" 1 "beta"
"human1_lib3.final_cell_0552" 1 "endothelial"
"human1_lib3.final_cell_0553" 1 "beta"
"human1_lib3.final_cell_0554" 1 "beta"
"human1_lib3.final_cell_0555" 1 "ductal"
"human1_lib3.final_cell_0556" 1 "beta"
"human1_lib3.final_cell_0557" 1 "beta"
"human1_lib3.final_cell_0558" 1 "quiescent_stellate"
"human1_lib3.final_cell_0559" 1 "beta"
"human1_lib3.final_cell_0560" 1 "acinar"
"human1_lib3.final_cell_0561" 1 "beta"
"human1_lib3.final_cell_0562" 1 "delta"
"human1_lib3.final_cell_0563" 1 "beta"
"human1_lib3.final_cell_0564" 1 "beta"
"human1_lib3.final_cell_0565" 1 "beta"
"human1_lib3.final_cell_0566" 1 "beta"
"human1_lib3.final_cell_0567" 1 "quiescent_stellate"
"human1_lib3.final_cell_0568" 1 "alpha"
"human1_lib3.final_cell_0569" 1 "endothelial"
"human1_lib3.final_cell_0570" 1 "beta"
"human1_lib3.final_cell_0571" 1 "delta"
"human1_lib3.final_cell_0572" 1 "gamma"
"human1_lib3.final_cell_0573" 1 "beta"
"human1_lib3.final_cell_0574" 1 "quiescent_stellate"
"human1_lib3.final_cell_0575" 1 "endothelial"
"human1_lib3.final_cell_0576" 1 "alpha"
"human1_lib3.final_cell_0577" 1 "beta"
"human1_lib3.final_cell_0578" 1 "ductal"
"human1_lib3.final_cell_0579" 1 "beta"
"human1_lib3.final_cell_0580" 1 "beta"
"human1_lib3.final_cell_0581" 1 "beta"
"human1_lib3.final_cell_0582" 1 "quiescent_stellate"
"human1_lib3.final_cell_0583" 1 "beta"
"human1_lib3.final_cell_0584" 1 "epsilon"
"human1_lib3.final_cell_0585" 1 "beta"
"human1_lib3.final_cell_0586" 1 "beta"
"human1_lib3.final_cell_0587" 1 "alpha"
"human1_lib3.final_cell_0588" 1 "beta"
"human1_lib3.final_cell_0589" 1 "endothelial"
"human1_lib3.final_cell_0590" 1 "endothelial"
"human1_lib3.final_cell_0591" 1 "quiescent_stellate"
"human1_lib3.final_cell_0592" 1 "beta"
"human1_lib3.final_cell_0593" 1 "beta"
"human1_lib3.final_cell_0594" 1 "epsilon"
"human1_lib3.final_cell_0595" 1 "quiescent_stellate"
"human1_lib3.final_cell_0596" 1 "beta"
"human1_lib3.final_cell_0597" 1 "mast"
"human1_lib3.final_cell_0598" 1 "ductal"
"human1_lib3.final_cell_0599" 1 "alpha"
"human1_lib3.final_cell_0600" 1 "acinar"
"human1_lib3.final_cell_0601" 1 "acinar"
"human1_lib3.final_cell_0602" 1 "endothelial"
"human1_lib3.final_cell_0603" 1 "ductal"
"human1_lib3.final_cell_0604" 1 "endothelial"
"human1_lib3.final_cell_0605" 1 "alpha"
"human1_lib3.final_cell_0606" 1 "delta"
"human1_lib3.final_cell_0607" 1 "beta"
"human1_lib3.final_cell_0608" 1 "beta"
"human1_lib3.final_cell_0609" 1 "beta"
"human1_lib3.final_cell_0610" 1 "ductal"
"human1_lib3.final_cell_0611" 1 "quiescent_stellate"
"human1_lib3.final_cell_0612" 1 "beta"
"human1_lib3.final_cell_0613" 1 "macrophage"
"human1_lib3.final_cell_0614" 1 "delta"
"human1_lib3.final_cell_0615" 1 "endothelial"
"human1_lib3.final_cell_0616" 1 "alpha"
"human1_lib3.final_cell_0617" 1 "beta"
"human1_lib3.final_cell_0618" 1 "endothelial"
"human1_lib3.final_cell_0619" 1 "beta"
"human1_lib3.final_cell_0620" 1 "beta"
"human1_lib3.final_cell_0621" 1 "endothelial"
"human1_lib3.final_cell_0622" 1 "delta"
"human1_lib3.final_cell_0623" 1 "acinar"
"human1_lib3.final_cell_0624" 1 "acinar"
"human1_lib3.final_cell_0625" 1 "endothelial"
"human1_lib3.final_cell_0626" 1 "beta"
"human1_lib3.final_cell_0627" 1 "endothelial"
"human1_lib3.final_cell_0628" 1 "acinar"
"human1_lib3.final_cell_0629" 1 "beta"
"human1_lib3.final_cell_0630" 1 "delta"
"human1_lib3.final_cell_0631" 1 "quiescent_stellate"
"human1_lib3.final_cell_0632" 1 "quiescent_stellate"
"human1_lib3.final_cell_0633" 1 "beta"
"human1_lib3.final_cell_0634" 1 "beta"
"human1_lib3.final_cell_0635" 1 "quiescent_stellate"
"human1_lib3.final_cell_0636" 1 "alpha"
"human1_lib3.final_cell_0637" 1 "quiescent_stellate"
"human1_lib3.final_cell_0638" 1 "quiescent_stellate"
"human1_lib3.final_cell_0639" 1 "beta"
"human1_lib3.final_cell_0640" 1 "quiescent_stellate"
